idCity,name,uf,idState
3921,Ponte Alta do Tocantins,TO,26
3922,Ponte Branca,MT,13
3923,Ponte Nova,MG,12
3924,Ponte Preta,RS,23
3925,Ponte Serrada,SC,25
3926,Pontes e Lacerda,MT,13
3927,Pontes Gestal,SP,26
3928,Ponto Belo,ES,7
3929,Ponto Chique,MG,12
3930,Ponto dos Volantes,MG,12
3931,Ponto Novo,BA,4
3932,Populina,SP,26
3933,Poranga,CE,5
3934,Porangaba,SP,26
3935,Porangatu,GO,8
3936,Porciúncula,RJ,21
3937,Porecatu,PR,18
3938,Portalegre,RN,21
3939,Portão,RS,23
3940,Porteirão,GO,8
3941,Porteiras,CE,5
3942,Porteirinha,MG,12
3943,Portel,PA,13
3944,Portelândia,GO,8
3945,Porto,PI,17
3946,Porto Acre,AC,1
3947,Porto Alegre,RS,23
3948,Porto Alegre do Norte,MT,13
3949,Porto Alegre do Piauí,PI,17
3950,Porto Alegre do Tocantins,TO,26
3951,Porto Amazonas,PR,18
3952,Porto Barreiro,PR,18
3953,Porto Belo,SC,25
3954,Porto Calvo,AL,1
3955,Porto da Folha,SE,25
3956,Porto de Moz,PA,13
3957,Porto de Pedras,AL,1
3958,Porto do Mangue,RN,21
3959,Porto dos Gaúchos,MT,13
3960,Porto Esperidião,MT,13
3961,Porto Estrela,MT,13
3962,Porto Feliz,SP,26
3963,Porto Ferreira,SP,26
3964,Porto Firme,MG,12
3965,Porto Franco,MA,9
3966,Porto Grande,AP,4
3967,Porto Lucena,RS,23
3968,Porto Mauá,RS,23
3969,Porto Murtinho,MS,13
3970,Porto Nacional,TO,26
3971,Porto Real,RJ,21
3972,Porto Real do Colégio,AL,1
3973,Porto Rico,PR,18
3974,Porto Rico do Maranhão,MA,9
3975,Porto Seguro,BA,4
3976,Porto União,SC,25
3977,Porto Velho,RO,21
3978,Porto Vera Cruz,RS,23
3979,Porto Vitória,PR,18
3980,Porto Walter,AC,1
3981,Porto Xavier,RS,23
3982,Posse,GO,8
3983,Poté,MG,12
3984,Potengi,CE,5
3985,Potim,SP,26
3986,Potiraguá,BA,4
3987,Potirendaba,SP,26
3988,Potiretama,CE,5
3989,Pouso Alegre,MG,12
3990,Pouso Alto,MG,12
3991,Pouso Novo,RS,23
3992,Pouso Redondo,SC,25
3993,Poxoréu,MT,13
3994,Pracinha,SP,26
3995,Pracuúba,AP,4
3996,Prado,BA,4
3997,Prado Ferreira,PR,18
3998,Pradópolis,SP,26
3999,Prados,MG,12
4000,Praia Grande,SP,26
4001,Praia Grande,SC,25
4002,Praia Norte,TO,26
4003,Prainha,PA,13
4004,Pranchita,PR,18
4005,Prata,PB,16
4006,Prata,MG,12
4007,Prata do Piauí,PI,17
4008,Pratânia,SP,26
4009,Pratápolis,MG,12
4010,Pratinha,MG,12
4011,Presidente Alves,SP,26
4012,Presidente Bernardes,MG,12
4013,Presidente Bernardes,SP,26
4014,Presidente Castello Branco,SC,25
4015,Presidente Castelo Branco,PR,18
4016,Presidente Dutra,MA,9
4017,Presidente Dutra,BA,4
4018,Presidente Epitácio,SP,26
4019,Presidente Figueiredo,AM,2
4020,Presidente Getúlio,SC,25
4021,Presidente Jânio Quadros,BA,4
4022,Presidente Juscelino,MA,9
4023,Presidente Juscelino,MG,12
4024,Presidente Kennedy,TO,26
4025,Presidente Kennedy,ES,7
4026,Presidente Kubitschek,MG,12
4027,Presidente Lucena,RS,23
4028,Presidente Médici,RO,21
4029,Presidente Médici,MA,9
4030,Presidente Nereu,SC,25
4031,Presidente Olegário,MG,12
4032,Presidente Prudente,SP,26
4033,Presidente Sarney,MA,9
4034,Presidente Tancredo Neves,BA,4
4035,Presidente Vargas,MA,9
4036,Presidente Venceslau,SP,26
4037,Primavera,PA,13
4038,Primavera,PE,16
4039,Primavera de Rondônia,RO,21
4040,Primavera do Leste,MT,13
4041,Primeira Cruz,MA,9
4042,Primeiro de Maio,PR,18
4043,Princesa,SC,25
4044,Princesa Isabel,PB,16
4045,Professor Jamil,GO,8
4046,Progresso,RS,23
4047,Promissão,SP,26
4048,Propriá,SE,25
4049,Protásio Alves,RS,23
4050,Prudente de Morais,MG,12
4051,Prudentópolis,PR,18
4052,Pugmil,TO,26
4053,Pureza,RN,21
4054,Putinga,RS,23
4055,Puxinanã,PB,16
4056,Quadra,SP,26
4057,Quaraí,RS,23
4058,Quartel Geral,MG,12
4059,Quarto Centenário,PR,18
4060,Quatá,SP,26
4061,Quatiguá,PR,18
4062,Quatipuru,PA,13
4063,Quatis,RJ,21
4064,Quatro Barras,PR,18
4065,Quatro Irmãos,RS,23
4066,Quatro Pontes,PR,18
4067,Quebrangulo,AL,1
4068,Quedas do Iguaçu,PR,18
4069,Queimada Nova,PI,17
4070,Queimadas,PB,16
4071,Queimadas,BA,4
4072,Queimados,RJ,21
4073,Queiroz,SP,26
4074,Queluz,SP,26
4075,Queluzito,MG,12
4076,Querência,MT,13
4077,Querência do Norte,PR,18
4078,Quevedos,RS,23
4079,Quijingue,BA,4
4080,Quilombo,SC,25
4081,Quinta do Sol,PR,18
4082,Quintana,SP,26
4083,Quinze de Novembro,RS,23
4084,Quipapá,PE,16
4085,Quirinópolis,GO,8
4086,Quissamã,RJ,21
4087,Quitandinha,PR,18
4088,Quiterianópolis,CE,5
4089,Quixaba,PB,16
4090,Quixaba,PE,16
4091,Quixabeira,BA,4
4092,Quixadá,CE,5
4093,Quixelô,CE,5
4094,Quixeramobim,CE,5
4095,Quixeré,CE,5
4096,Rafael Fernandes,RN,21
4097,Rafael Godeiro,RN,21
4098,Rafael Jambeiro,BA,4
4099,Rafard,SP,26
4100,Ramilândia,PR,18
4101,Rancharia,SP,26
4102,Rancho Alegre,PR,18
4103,Rancho Alegre D'Oeste,PR,18
4104,Rancho Queimado,SC,25
4105,Raposa,MA,9
4106,Raposos,MG,12
4107,Raul Soares,MG,12
4108,Realeza,PR,18
4109,Rebouças,PR,18
4110,Recife,PE,16
4111,Recreio,MG,12
4112,Recursolândia,TO,26
4113,Redenção,PA,13
4114,Redenção,CE,5
4115,Redenção da Serra,SP,26
4116,Redenção do Gurguéia,PI,17
4117,Redentora,RS,23
4118,Reduto,MG,12
4119,Regeneração,PI,17
4120,Regente Feijó,SP,26
4121,Reginópolis,SP,26
4122,Registro,SP,26
4123,Relvado,RS,23
4124,Remanso,BA,4
4125,Remígio,PB,16
4126,Renascença,PR,18
4127,Reriutaba,CE,5
4128,Resende,RJ,21
4129,Resende Costa,MG,12
4130,Reserva,PR,18
4131,Reserva do Cabaçal,MT,13
4132,Reserva do Iguaçu,PR,18
4133,Resplendor,MG,12
4134,Ressaquinha,MG,12
4135,Restinga,SP,26
4136,Restinga Sêca,RS,23
4137,Retirolândia,BA,4
4138,Riachão,MA,9
4139,Riachão,PB,16
4140,Riachão das Neves,BA,4
4141,Riachão do Bacamarte,PB,16
4142,Riachão do Dantas,SE,25
4143,Riachão do Jacuípe,BA,4
4144,Riachão do Poço,PB,16
4145,Riachinho,TO,26
4146,Riachinho,MG,12
4147,Riacho da Cruz,RN,21
4148,Riacho das Almas,PE,16
4149,Riacho de Santana,RN,21
4150,Riacho de Santana,BA,4
4151,Riacho de Santo Antônio,PB,16
4152,Riacho dos Cavalos,PB,16
4153,Riacho dos Machados,MG,12
4154,Riacho Frio,PI,17
4155,Riachuelo,RN,21
4156,Riachuelo,SE,25
4157,Rialma,GO,8
4158,Rianápolis,GO,8
4159,Ribamar Fiquene,MA,9
4160,Ribas do Rio Pardo,MS,13
4161,Ribeira,SP,26
4162,Ribeira do Amparo,BA,4
4163,Ribeira do Piauí,PI,17
4164,Ribeira do Pombal,BA,4
4165,Ribeirão,PE,16
4166,Ribeirão Bonito,SP,26
4167,Ribeirão Branco,SP,26
4168,Ribeirão Cascalheira,MT,13
4169,Ribeirão Claro,PR,18
4170,Ribeirão Corrente,SP,26
4171,Ribeirão das Neves,MG,12
4172,Ribeirão do Largo,BA,4
4173,Ribeirão do Pinhal,PR,18
4174,Ribeirão do Sul,SP,26
4175,Ribeirão dos Índios,SP,26
4176,Ribeirão Grande,SP,26
4177,Ribeirão Pires,SP,26
4178,Ribeirão Preto,SP,26
4179,Ribeirão Vermelho,MG,12
4180,Ribeirãozinho,MT,13
4181,Ribeiro Gonçalves,PI,17
4182,Ribeirópolis,SE,25
4183,Rifaina,SP,26
4184,Rincão,SP,26
4185,Rinópolis,SP,26
4186,Rio Acima,MG,12
4187,Rio Azul,PR,18
4188,Rio Bananal,ES,7
4189,Rio Bom,PR,18
4190,Rio Bonito,RJ,21
4191,Rio Bonito do Iguaçu,PR,18
4192,Rio Branco,AC,1
4193,Rio Branco,MT,13
4194,Rio Branco do Ivaí,PR,18
4195,Rio Branco do Sul,PR,18
4196,Rio Brilhante,MS,13
4197,Rio Casca,MG,12
4198,Rio Claro,RJ,21
4199,Rio Claro,SP,26
4200,Rio Crespo,RO,21
4201,Rio da Conceição,TO,26
4202,Rio das Antas,SC,25
4203,Rio das Flores,RJ,21
4204,Rio das Ostras,RJ,21
4205,Rio das Pedras,SP,26
4206,Rio de Contas,BA,4
4207,Rio de Janeiro,RJ,21
4208,Rio do Antônio,BA,4
4209,Rio do Campo,SC,25
4210,Rio do Fogo,RN,21
4211,Rio do Oeste,SC,25
4212,Rio do Pires,BA,4
4213,Rio do Prado,MG,12
4214,Rio do Sul,SC,25
4215,Rio Doce,MG,12
4216,Rio dos Bois,TO,26
4217,Rio dos Cedros,SC,25
4218,Rio dos Índios,RS,23
4219,Rio Espera,MG,12
4220,Rio Formoso,PE,16
4221,Rio Fortuna,SC,25
4222,Rio Grande,RS,23
4223,Rio Grande da Serra,SP,26
4224,Rio Grande do Piauí,PI,17
4225,Rio Largo,AL,1
4226,Rio Manso,MG,12
4227,Rio Maria,PA,13
4228,Rio Negrinho,SC,25
4229,Rio Negro,PR,18
4230,Rio Negro,MS,13
4231,Rio Novo,MG,12
4232,Rio Novo do Sul,ES,7
4233,Rio Paranaíba,MG,12
4234,Rio Pardo,RS,23
4235,Rio Pardo de Minas,MG,12
4236,Rio Piracicaba,MG,12
4237,Rio Pomba,MG,12
4238,Rio Preto,MG,12
4239,Rio Preto da Eva,AM,2
4240,Rio Quente,GO,8
4241,Rio Real,BA,4
4242,Rio Rufino,SC,25
4243,Rio Sono,TO,26
4244,Rio Tinto,PB,16
4245,Rio Verde,GO,8
4246,Rio Verde de Mato Grosso,MS,13
4247,Rio Vermelho,MG,12
4248,Riolândia,SP,26
4249,Riozinho,RS,23
4250,Riqueza,SC,25
4251,Ritápolis,MG,12
4252,Riversul,SP,26
4253,Roca Sales,RS,23
4254,Rochedo,MS,13
4255,Rochedo de Minas,MG,12
4256,Rodeio,SC,25
4257,Rodeio Bonito,RS,23
4258,Rodeiro,MG,12
4259,Rodelas,BA,4
4260,Rodolfo Fernandes,RN,21
4261,Rodrigues Alves,AC,1
4262,Rolador,RS,23
4263,Rolândia,PR,18
4264,Rolante,RS,23
4265,Rolim de Moura,RO,21
4266,Romaria,MG,12
4267,Romelândia,SC,25
4268,Roncador,PR,18
4269,Ronda Alta,RS,23
4270,Rondinha,RS,23
4271,Rondolândia,MT,13
4272,Rondon,PR,18
4273,Rondon do Pará,PA,13
4274,Rondonópolis,MT,13
4275,Roque Gonzales,RS,23
4276,Rorainópolis,RR,23
4277,Rosana,SP,26
4278,Rosário,MA,9
4279,Rosário da Limeira,MG,12
4280,Rosário do Catete,SE,25
4281,Rosário do Ivaí,PR,18
4282,Rosário do Sul,RS,23
4283,Rosário Oeste,MT,13
4284,Roseira,SP,26
4285,Roteiro,AL,1
4286,Rubelita,MG,12
4287,Rubiácea,SP,26
4288,Rubiataba,GO,8
4289,Rubim,MG,12
4290,Rubinéia,SP,26
4291,Rurópolis,PA,13
4292,Russas,CE,5
4293,Ruy Barbosa,RN,21
4294,Ruy Barbosa,BA,4
4295,Sabará,MG,12
4296,Sabáudia,PR,18
4297,Sabino,SP,26
4298,Sabinópolis,MG,12
4299,Saboeiro,CE,5
4300,Sacramento,MG,12
4301,Sagrada Família,RS,23
4302,Sagres,SP,26
4303,Sairé,PE,16
4304,Saldanha Marinho,RS,23
4305,Sales,SP,26
4306,Sales Oliveira,SP,26
4307,Salesópolis,SP,26
4308,Salete,SC,25
4309,Salgadinho,PB,16
4310,Salgadinho,PE,16
4311,Salgado,SE,25
4312,Salgado de São Félix,PB,16
4313,Salgado Filho,PR,18
4314,Salgueiro,PE,16
4315,Salinas,MG,12
4316,Salinas da Margarida,BA,4
4317,Salinópolis,PA,13
4318,Salitre,CE,5
4319,Salmourão,SP,26
